item_id,meeting_id,item_number,item_type,application_id,applicant_name,project_title,district,address_raw,summary,outcome,motion_text,vote_result,created_at,project_matches,staff_code,needs_review,extraction_confidence,category_id,item_order,item_title,item_text,action_taken,action_type,vote_detected,extraction_notes
1819,233,9,Budget,,,"Capital Improvement Program Calendar Village Manager Sarkozy spoke regarding the Village Center Master Plan Survey, Estero Infrastructure Study, Estero Community Improvement Foundation Study, the May 24, 2016 Capital Improvement Program public workshop re",,,"Capital Improvement Program Calendar Village Manager Sarkozy spoke regarding the Village Center Master Plan Survey, Estero Infrastructure Study, Estero Community Improvement Foundation Study, the May 24, 2016 Capital Improvement Program public workshop re. Action: No formal action recorded. Capital Improvement Program Calendar Village Manager Sarkozy spoke regarding the Village Center Master Plan Survey, Estero Infrastructure Study, Estero Community Improvement Foundation Study, the May 24, 2016 Capital Improvement Program public workshop responses, and the Village capital projects categories. In depth discussion ensued regarding Estero Parkway improvements followed by additional capital improvements such as landscaping for medians; gateway signs; and access to the Estero River. Public comment: Robert King, Bella Terra and East Corkscrew Alliance","No formal action recorded. Capital Improvement Program Calendar Village Manager Sarkozy spoke regarding the Village Center Master Plan Survey, Estero Infrastructure Study, Estero Community Improvement Foundation Study, the May 24, 2016 Capital Improvement Program public workshop responses, and the Village capital projects categories. In depth discussion ensued regarding Estero Parkway improvements followed by additional capital improvements such as landscaping for medians; gateway signs; and access to the Estero River. Public comment: Robert King, Bella Terra and East Corkscrew Alliance",,,,Budget / Capital Improvement,,True,0.65,5,9,"Capital Improvement Program Calendar Village Manager Sarkozy spoke regarding the Village Center Master Plan Survey, Estero Infrastructure Study, Estero Community Improvement Foundation Study, the May 24, 2016 Capital Improvement Program public workshop re","Capital Improvement Program Calendar Village Manager Sarkozy spoke regarding the Village Center Master Plan Survey, Estero Infrastructure Study, Estero Community Improvement Foundation Study, the May 24, 2016 Capital Improvement Program public workshop re. Action: No formal action recorded. Capital Improvement Program Calendar Village Manager Sarkozy spoke regarding the Village Center Master Plan Survey, Estero Infrastructure Study, Estero Community Improvement Foundation Study, the May 24, 2016 Capital Improvement Program public workshop responses, and the Village capital projects categories. In depth discussion ensued regarding Estero Parkway improvements followed by additional capital improvements such as landscaping for medians; gateway signs; and access to the Estero River. Public comment: Robert King, Bella Terra and East Corkscrew Alliance","No formal action recorded. Capital Improvement Program Calendar Village Manager Sarkozy spoke regarding the Village Center Master Plan Survey, Estero Infrastructure Study, Estero Community Improvement Foundation Study, the May 24, 2016 Capital Improvement Program public workshop responses, and the Village capital projects categories. In depth discussion ensued regarding Estero Parkway improvements followed by additional capital improvements such as landscaping for medians; gateway signs; and access to the Estero River. Public comment: Robert King, Bella Terra and East Corkscrew Alliance",Budget,False,
1820,233,10,Ordinance,,,Medical Marijuana Dispensaries Village Attorney Saunders addressed the effort around the state for providers to establish cannabis dispensaries after the November 2016 election. He stated that the Village could establish a temporary ban as well as permit ,,,"Medical Marijuana Dispensaries Village Attorney Saunders addressed the effort around the state for providers to establish cannabis dispensaries after the November 2016 election. He stated that the Village could establish a temporary ban as well as permit . Action: No formal action recorded. Medical Marijuana Dispensaries Village Attorney Saunders addressed the effort around the state for providers to establish cannabis dispensaries after the November 2016 election. He stated that the Village could establish a temporary ban as well as permit dispensaries and place limitations. Questions or Comments by: Mayor Batos and Councilmembers Brown, Errington, and Boesch. Discussion included whether the bill would include a preemption; whether the moratorium could be for 12 months; concern regarding location of dispensaries; and whether there could be a ban on dispensaries in the Village. Village Attorney Saunders indicated that an ordinance would be prepared for Council consideration. Public Comment: None","No formal action recorded. Medical Marijuana Dispensaries Village Attorney Saunders addressed the effort around the state for providers to establish cannabis dispensaries after the November 2016 election. He stated that the Village could establish a temporary ban as well as permit dispensaries and place limitations. Questions or Comments by: Mayor Batos and Councilmembers Brown, Errington, and Boesch. Discussion included whether the bill would include a preemption; whether the moratorium could be for 12 months; concern regarding location of dispensaries; and whether there could be a ban on dispensaries in the Village. Village Attorney Saunders indicated that an ordinance would be prepared for Council consideration. Public Comment: None",,,,,,True,0.5,6,10,Medical Marijuana Dispensaries Village Attorney Saunders addressed the effort around the state for providers to establish cannabis dispensaries after the November 2016 election. He stated that the Village could establish a temporary ban as well as permit ,"Medical Marijuana Dispensaries Village Attorney Saunders addressed the effort around the state for providers to establish cannabis dispensaries after the November 2016 election. He stated that the Village could establish a temporary ban as well as permit . Action: No formal action recorded. Medical Marijuana Dispensaries Village Attorney Saunders addressed the effort around the state for providers to establish cannabis dispensaries after the November 2016 election. He stated that the Village could establish a temporary ban as well as permit dispensaries and place limitations. Questions or Comments by: Mayor Batos and Councilmembers Brown, Errington, and Boesch. Discussion included whether the bill would include a preemption; whether the moratorium could be for 12 months; concern regarding location of dispensaries; and whether there could be a ban on dispensaries in the Village. Village Attorney Saunders indicated that an ordinance would be prepared for Council consideration. Public Comment: None","No formal action recorded. Medical Marijuana Dispensaries Village Attorney Saunders addressed the effort around the state for providers to establish cannabis dispensaries after the November 2016 election. He stated that the Village could establish a temporary ban as well as permit dispensaries and place limitations. Questions or Comments by: Mayor Batos and Councilmembers Brown, Errington, and Boesch. Discussion included whether the bill would include a preemption; whether the moratorium could be for 12 months; concern regarding location of dispensaries; and whether there could be a ban on dispensaries in the Village. Village Attorney Saunders indicated that an ordinance would be prepared for Council consideration. Public Comment: None",Ordinance,False,
1821,233,11,Public Comment,,,Establishing 2017 Village Council Meetings Calendar Village Manager Sarkozy presented the proposed meetings calendar for 2017 and provided two options for a summer break,,,"Establishing 2017 Village Council Meetings Calendar Village Manager Sarkozy presented the proposed meetings calendar for 2017 and provided two options for a summer break. Action: No formal action recorded. Establishing 2017 Village Council Meetings Calendar Village Manager Sarkozy presented the proposed meetings calendar for 2017 and provided two options for a summer break. Discussion ensued and Council consensus was to schedule the summer break between August 6,2017 and September 2, 2017, as well as adding zoning hearing dates for each month. Public Comment: None","No formal action recorded. Establishing 2017 Village Council Meetings Calendar Village Manager Sarkozy presented the proposed meetings calendar for 2017 and provided two options for a summer break. Discussion ensued and Council consensus was to schedule the summer break between August 6,2017 and September 2, 2017, as well as adding zoning hearing dates for each month. Public Comment: None",,,,,,True,0.5,8,11,Establishing 2017 Village Council Meetings Calendar Village Manager Sarkozy presented the proposed meetings calendar for 2017 and provided two options for a summer break,"Establishing 2017 Village Council Meetings Calendar Village Manager Sarkozy presented the proposed meetings calendar for 2017 and provided two options for a summer break. Action: No formal action recorded. Establishing 2017 Village Council Meetings Calendar Village Manager Sarkozy presented the proposed meetings calendar for 2017 and provided two options for a summer break. Discussion ensued and Council consensus was to schedule the summer break between August 6,2017 and September 2, 2017, as well as adding zoning hearing dates for each month. Public Comment: None","No formal action recorded. Establishing 2017 Village Council Meetings Calendar Village Manager Sarkozy presented the proposed meetings calendar for 2017 and provided two options for a summer break. Discussion ensued and Council consensus was to schedule the summer break between August 6,2017 and September 2, 2017, as well as adding zoning hearing dates for each month. Public Comment: None",Public Comment,False,
1822,234,1,Administrative,,,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS",,,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS. Action: Approved agenda",Approved agenda,,Detected,,,TD/CS,True,0.5,8,1,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS","APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS. Action: Approved agenda",Approved agenda,Administrative,True,
1823,234,2,Consent Agenda,,,Financial Report for Month ended August 2022,,,Financial Report for Month ended August 2022. Action: Approved the Consent Agenda,Approved the Consent Agenda,,Detected,,,TD/CS,True,0.5,7,2,Financial Report for Month ended August 2022,Financial Report for Month ended August 2022. Action: Approved the Consent Agenda,Approved the Consent Agenda,Consent Agenda,True,
1824,234,3,Resolution,Resolution No. 2022-31,,"Resolution No. 2022-31 relating to recovery for Hurricane Ian A Resolution of the Village Council of the Village of Estero, Florida, Relating to Recovery from Hurricane Ian; Ratifying and Confirming all Actions of the Mayor, Council Members,",,,"Resolution No. 2022-31 relating to recovery for Hurricane Ian A Resolution of the Village Council of the Village of Estero, Florida, Relating to Recovery from Hurricane Ian; Ratifying and Confirming all Actions of the Mayor, Council Members,. Action: Adopted Resolution No. 2022-31",Adopted Resolution No. 2022-31,,Detected,,,TD/CS,True,0.5,8,3,"Resolution No. 2022-31 relating to recovery for Hurricane Ian A Resolution of the Village Council of the Village of Estero, Florida, Relating to Recovery from Hurricane Ian; Ratifying and Confirming all Actions of the Mayor, Council Members,","Resolution No. 2022-31 relating to recovery for Hurricane Ian A Resolution of the Village Council of the Village of Estero, Florida, Relating to Recovery from Hurricane Ian; Ratifying and Confirming all Actions of the Mayor, Council Members,. Action: Adopted Resolution No. 2022-31",Adopted Resolution No. 2022-31,Resolution,True,
1825,234,4,Ordinance,Ordinance No. 2022-13,,"First Reading of Ordinance No. 2022-13, Land Development Code Amendment - Flood Hazard Reduction Standards An Ordinance of the Village Council of the Village of Estero, Florida, amending Land Development Code Section 7-3 ""Flood Hazard Reduction Standards""",,,"First Reading of Ordinance No. 2022-13, Land Development Code Amendment - Flood Hazard Reduction Standards An Ordinance of the Village Council of the Village of Estero, Florida, amending Land Development Code Section 7-3 ""Flood Hazard Reduction Standards"". Action: Passed first reading of Ordinance No. 2022-13 and set second reading and public hearing for November 2, 2022","Passed first reading of Ordinance No. 2022-13 and set second reading and public hearing for November 2, 2022",,Detected,,Comprehensive Plan; Comprehensive Plan / Land Development Code,TD/CS,True,0.65,5,4,"First Reading of Ordinance No. 2022-13, Land Development Code Amendment - Flood Hazard Reduction Standards An Ordinance of the Village Council of the Village of Estero, Florida, amending Land Development Code Section 7-3 ""Flood Hazard Reduction Standards""","First Reading of Ordinance No. 2022-13, Land Development Code Amendment - Flood Hazard Reduction Standards An Ordinance of the Village Council of the Village of Estero, Florida, amending Land Development Code Section 7-3 ""Flood Hazard Reduction Standards"". Action: Passed first reading of Ordinance No. 2022-13 and set second reading and public hearing for November 2, 2022","Passed first reading of Ordinance No. 2022-13 and set second reading and public hearing for November 2, 2022",Ordinance,True,
1826,234,5,Ordinance,Ordinance No. 2022-14,,"First Reading Ordinance No. 2022-14 Coconut Trace Commercial Planned Development Zoning Amendment. An Ordinance of the Village Council of the Village of Estero, Florida, Amending the Coconut Trace Commercial Planned Development (CPD) Zoning to Allow a Rea",,,"First Reading Ordinance No. 2022-14 Coconut Trace Commercial Planned Development Zoning Amendment. An Ordinance of the Village Council of the Village of Estero, Florida, Amending the Coconut Trace Commercial Planned Development (CPD) Zoning to Allow a Rea. Action: Passed first reading of Ordinance No. 2022-14 and set second reading and public hearing for November 2, 2022","Passed first reading of Ordinance No. 2022-14 and set second reading and public hearing for November 2, 2022",,Detected,,,TD/CS,True,0.5,2,5,"First Reading Ordinance No. 2022-14 Coconut Trace Commercial Planned Development Zoning Amendment. An Ordinance of the Village Council of the Village of Estero, Florida, Amending the Coconut Trace Commercial Planned Development (CPD) Zoning to Allow a Rea","First Reading Ordinance No. 2022-14 Coconut Trace Commercial Planned Development Zoning Amendment. An Ordinance of the Village Council of the Village of Estero, Florida, Amending the Coconut Trace Commercial Planned Development (CPD) Zoning to Allow a Rea. Action: Passed first reading of Ordinance No. 2022-14 and set second reading and public hearing for November 2, 2022","Passed first reading of Ordinance No. 2022-14 and set second reading and public hearing for November 2, 2022",Ordinance,True,
1827,234,6,Ordinance,Ordinance No. 2022-15,,"First Reading of Ordinance No. 2022-15 for Pelican Sound Residential Planned Development Zoning Amendment An Ordinance of the Village Council of the Village of Estero, Florida, Amending the Pelican Sound Residential Planned Development (RPD) Zoning To All",,"Pelican Sound Golf & River Club, Estero, FL","First Reading of Ordinance No. 2022-15 for Pelican Sound Residential Planned Development Zoning Amendment An Ordinance of the Village Council of the Village of Estero, Florida, Amending the Pelican Sound Residential Planned Development (RPD) Zoning To All. Action: Passed first reading of Ordinance No. 2022-15 and set second reading and public hearing for November 2, 2022","Passed first reading of Ordinance No. 2022-15 and set second reading and public hearing for November 2, 2022",,Detected,,,TD/CS,True,0.5,1,6,"First Reading of Ordinance No. 2022-15 for Pelican Sound Residential Planned Development Zoning Amendment An Ordinance of the Village Council of the Village of Estero, Florida, Amending the Pelican Sound Residential Planned Development (RPD) Zoning To All","First Reading of Ordinance No. 2022-15 for Pelican Sound Residential Planned Development Zoning Amendment An Ordinance of the Village Council of the Village of Estero, Florida, Amending the Pelican Sound Residential Planned Development (RPD) Zoning To All. Action: Passed first reading of Ordinance No. 2022-15 and set second reading and public hearing for November 2, 2022","Passed first reading of Ordinance No. 2022-15 and set second reading and public hearing for November 2, 2022",Ordinance,True,
1828,234,7,Ordinance,Ordinance No. 2022-16,,"First Reading of Ordinance No. 2022-16 Genova Zoning Amendment. An Ordinance of the Village Council of the Village of Estero, Florida, Amending the Estero Planned Development Zoning Adopted by Ordinance 2016-08 For ""Genova"", for a3.6-Acre Property Parcel ",,"21450 Strada Nuova Circle, Estero, FL","First Reading of Ordinance No. 2022-16 Genova Zoning Amendment. An Ordinance of the Village Council of the Village of Estero, Florida, Amending the Estero Planned Development Zoning Adopted by Ordinance 2016-08 For ""Genova"", for a3.6-Acre Property Parcel . Action: Passed first reading of Ordinance No. 2022-16 and set second reading and public hearing for November 2, 2022","Passed first reading of Ordinance No. 2022-16 and set second reading and public hearing for November 2, 2022",,Detected,,,TD/CS,True,0.5,8,7,"First Reading of Ordinance No. 2022-16 Genova Zoning Amendment. An Ordinance of the Village Council of the Village of Estero, Florida, Amending the Estero Planned Development Zoning Adopted by Ordinance 2016-08 For ""Genova"", for a3.6-Acre Property Parcel ","First Reading of Ordinance No. 2022-16 Genova Zoning Amendment. An Ordinance of the Village Council of the Village of Estero, Florida, Amending the Estero Planned Development Zoning Adopted by Ordinance 2016-08 For ""Genova"", for a3.6-Acre Property Parcel . Action: Passed first reading of Ordinance No. 2022-16 and set second reading and public hearing for November 2, 2022","Passed first reading of Ordinance No. 2022-16 and set second reading and public hearing for November 2, 2022",Ordinance,True,
1829,234,8,Ordinance,Ordinance No. 2022-09,,"Second Reading of Ordinance No. 2022-09 addressing Conflict of Interest - Planning, Zoning and Design Board",,,"Second Reading of Ordinance No. 2022-09 addressing Conflict of Interest - Planning, Zoning and Design Board. Action: Approved Ordinance No. 2022-09",Approved Ordinance No. 2022-09,,Detected,,,TD/CS,True,0.5,8,8,"Second Reading of Ordinance No. 2022-09 addressing Conflict of Interest - Planning, Zoning and Design Board","Second Reading of Ordinance No. 2022-09 addressing Conflict of Interest - Planning, Zoning and Design Board. Action: Approved Ordinance No. 2022-09",Approved Ordinance No. 2022-09,Ordinance,True,
1830,234,9,Vote,Ordinance No. 2022-10,,"Second Reading of Ordinance No. 2022-10 Estero Town Center (Wawa) Zoning Amendment Ordinance No. 2022-10 An Ordinance of the Village Council of the Village of Estero, Florida, Considering a Zoning Amendment and Deviations for Estero Town Center Commercial",,,"Second Reading of Ordinance No. 2022-10 Estero Town Center (Wawa) Zoning Amendment Ordinance No. 2022-10 An Ordinance of the Village Council of the Village of Estero, Florida, Considering a Zoning Amendment and Deviations for Estero Town Center Commercial. Action: Approved 2022-10 with changes to language to allow only one free- standing fast-food restaurant, and revise conditions related to the buffer and the public gathering areas","Approved 2022-10 with changes to language to allow only one free- standing fast-food restaurant, and revise conditions related to the buffer and the public gathering areas",,Detected,,,TD/CS,True,0.5,2,9,"Second Reading of Ordinance No. 2022-10 Estero Town Center (Wawa) Zoning Amendment Ordinance No. 2022-10 An Ordinance of the Village Council of the Village of Estero, Florida, Considering a Zoning Amendment and Deviations for Estero Town Center Commercial","Second Reading of Ordinance No. 2022-10 Estero Town Center (Wawa) Zoning Amendment Ordinance No. 2022-10 An Ordinance of the Village Council of the Village of Estero, Florida, Considering a Zoning Amendment and Deviations for Estero Town Center Commercial. Action: Approved 2022-10 with changes to language to allow only one free- standing fast-food restaurant, and revise conditions related to the buffer and the public gathering areas","Approved 2022-10 with changes to language to allow only one free- standing fast-food restaurant, and revise conditions related to the buffer and the public gathering areas",Vote,True,
1831,234,10,Ordinance,Ordinance No. 2022-11,,"Second Reading of Ordinance No. 2022-11, Milan Villas Rezoning. No ex parte communication or conflicts of interest were noted. Ordinance 2022-11 An Ordinance of the Village Council of the Village of Estero, Florida, Rezoning a 10 Acre Property at the Nort",,,"Second Reading of Ordinance No. 2022-11, Milan Villas Rezoning. No ex parte communication or conflicts of interest were noted. Ordinance 2022-11 An Ordinance of the Village Council of the Village of Estero, Florida, Rezoning a 10 Acre Property at the Nort. Action: Approved to continue this Ordinance No. 2022-11 until November 16, 2022 Council meeting","Approved to continue this Ordinance No. 2022-11 until November 16, 2022 Council meeting",,Detected,,,TD/CS,True,0.5,8,10,"Second Reading of Ordinance No. 2022-11, Milan Villas Rezoning. No ex parte communication or conflicts of interest were noted. Ordinance 2022-11 An Ordinance of the Village Council of the Village of Estero, Florida, Rezoning a 10 Acre Property at the Nort","Second Reading of Ordinance No. 2022-11, Milan Villas Rezoning. No ex parte communication or conflicts of interest were noted. Ordinance 2022-11 An Ordinance of the Village Council of the Village of Estero, Florida, Rezoning a 10 Acre Property at the Nort. Action: Approved to continue this Ordinance No. 2022-11 until November 16, 2022 Council meeting","Approved to continue this Ordinance No. 2022-11 until November 16, 2022 Council meeting",Ordinance,True,
1832,234,11,Ordinance,Ordinance No. 2022-12,,"Second Reading of Ordinance No. 2022-12 Land Development Code Amendment for Lot Coverage An Ordinance of the Village Council of the Village of Estero, Florida, Amending the Village Land Development Code to Amend Section 10-3 Rules of Measurement to Revise",,,"Second Reading of Ordinance No. 2022-12 Land Development Code Amendment for Lot Coverage An Ordinance of the Village Council of the Village of Estero, Florida, Amending the Village Land Development Code to Amend Section 10-3 Rules of Measurement to Revise. Action: Approved to continue this Ordinance No. 2022-12 until November 2, 2022 Council meeting","Approved to continue this Ordinance No. 2022-12 until November 2, 2022 Council meeting",,Detected,,Comprehensive Plan; Comprehensive Plan / Land Development Code,TD/CS,True,0.65,8,11,"Second Reading of Ordinance No. 2022-12 Land Development Code Amendment for Lot Coverage An Ordinance of the Village Council of the Village of Estero, Florida, Amending the Village Land Development Code to Amend Section 10-3 Rules of Measurement to Revise","Second Reading of Ordinance No. 2022-12 Land Development Code Amendment for Lot Coverage An Ordinance of the Village Council of the Village of Estero, Florida, Amending the Village Land Development Code to Amend Section 10-3 Rules of Measurement to Revise. Action: Approved to continue this Ordinance No. 2022-12 until November 2, 2022 Council meeting","Approved to continue this Ordinance No. 2022-12 until November 2, 2022 Council meeting",Ordinance,True,
1833,234,12,Unknown,,,"September 21, 2022, Council Meeting Minutes",,,"September 21, 2022, Council Meeting Minutes. Action: No formal action recorded. September 21, 2022, Council Meeting Minutes","No formal action recorded. September 21, 2022, Council Meeting Minutes",,,,,TD/CS,True,0.5,8,12,"September 21, 2022, Council Meeting Minutes","September 21, 2022, Council Meeting Minutes. Action: No formal action recorded. September 21, 2022, Council Meeting Minutes","No formal action recorded. September 21, 2022, Council Meeting Minutes",Unknown,False,
1834,234,13,Unknown,,,"September 27, 2022, Special Council Meeting Minutes",,,"September 27, 2022, Special Council Meeting Minutes. Action: No formal action recorded. September 27, 2022, Special Council Meeting Minutes","No formal action recorded. September 27, 2022, Special Council Meeting Minutes",,,,,TD/CS,True,0.5,8,13,"September 27, 2022, Special Council Meeting Minutes","September 27, 2022, Special Council Meeting Minutes. Action: No formal action recorded. September 27, 2022, Special Council Meeting Minutes","No formal action recorded. September 27, 2022, Special Council Meeting Minutes",Unknown,False,
1835,235,1,Administrative,,,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS",,,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS. Action: Approved agenda",Approved agenda,,Detected,,,TD/CS,True,0.5,8,1,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS","APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS. Action: Approved agenda",Approved agenda,Administrative,True,
1836,235,2,Consent Agenda,,,August 2021 Financial Report,,,August 2021 Financial Report. Action: Approved the Consent Agenda,Approved the Consent Agenda,,Detected,,,TD/CS,True,0.5,7,2,August 2021 Financial Report,August 2021 Financial Report. Action: Approved the Consent Agenda,Approved the Consent Agenda,Consent Agenda,True,
1837,235,3,Contract Approval,EC 2020-32,,Engineering Services for Estero PreK-8 School/Johnson Engineering - Shared Use Contract,,,"Engineering Services for Estero PreK-8 School/Johnson Engineering - Shared Use Contract. Action: Approved the award of Supplemental Task Authorization 10 to Contract EC 2020-32 to Johnson Engineering to provide engineering service to The Village of Estero for $98,000, approve a 10% contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the STA and other additional implementing documents within the scope of the STA on behalf of the Village of Estero Council","Approved the award of Supplemental Task Authorization 10 to Contract EC 2020-32 to Johnson Engineering to provide engineering service to The Village of Estero for $98,000, approve a 10% contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the STA and other additional implementing documents within the scope of the STA on behalf of the Village of Estero Council",,Detected,,,TD/CS,True,0.5,6,3,Engineering Services for Estero PreK-8 School/Johnson Engineering - Shared Use Contract,"Engineering Services for Estero PreK-8 School/Johnson Engineering - Shared Use Contract. Action: Approved the award of Supplemental Task Authorization 10 to Contract EC 2020-32 to Johnson Engineering to provide engineering service to The Village of Estero for $98,000, approve a 10% contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the STA and other additional implementing documents within the scope of the STA on behalf of the Village of Estero Council","Approved the award of Supplemental Task Authorization 10 to Contract EC 2020-32 to Johnson Engineering to provide engineering service to The Village of Estero for $98,000, approve a 10% contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the STA and other additional implementing documents within the scope of the STA on behalf of the Village of Estero Council",Contract Approval,True,
1838,235,4,Ordinance,Ordinance 2021-10,,"Via Coconut Rezoning Ordinance 2021-10 of the Village Council of the Village of Estero, Florida, Considering a Rezoning from Agriculture (AG) and Parks and Community Facilities (PCF) to Estero Planned Development (EPD) for a 20-Acre Parcel on the West Sid",,Via Coconut Point,"Via Coconut Rezoning Ordinance 2021-10 of the Village Council of the Village of Estero, Florida, Considering a Rezoning from Agriculture (AG) and Parks and Community Facilities (PCF) to Estero Planned Development (EPD) for a 20-Acre Parcel on the West Sid. Action: Approved Ordinance 2021-10 with the additional condition number 26 and the revision to condition 19 regarding maintenance",Approved Ordinance 2021-10 with the additional condition number 26 and the revision to condition 19 regarding maintenance,,Detected,,,TD/CS,True,0.6,3,4,"Via Coconut Rezoning Ordinance 2021-10 of the Village Council of the Village of Estero, Florida, Considering a Rezoning from Agriculture (AG) and Parks and Community Facilities (PCF) to Estero Planned Development (EPD) for a 20-Acre Parcel on the West Sid","Via Coconut Rezoning Ordinance 2021-10 of the Village Council of the Village of Estero, Florida, Considering a Rezoning from Agriculture (AG) and Parks and Community Facilities (PCF) to Estero Planned Development (EPD) for a 20-Acre Parcel on the West Sid. Action: Approved Ordinance 2021-10 with the additional condition number 26 and the revision to condition 19 regarding maintenance",Approved Ordinance 2021-10 with the additional condition number 26 and the revision to condition 19 regarding maintenance,Ordinance,True,
1839,235,5,Resolution,Resolution 2021-19,,"Miller Right-of-Way Vacation (VAC2019-E001) on Via Coconut property Resolution 2021-19 Resolution of The Village of Estero, Florida, vacating a 66-Foot Wide Public Right-Of-Way that is Part of the Plat of the Florida Gulf Land Company's Subdivision, as Re",,Via Coconut Point,"Miller Right-of-Way Vacation (VAC2019-E001) on Via Coconut property Resolution 2021-19 Resolution of The Village of Estero, Florida, vacating a 66-Foot Wide Public Right-Of-Way that is Part of the Plat of the Florida Gulf Land Company's Subdivision, as Re. Action: Approved Resolution 2021-19",Approved Resolution 2021-19,,Detected,,,TD/CS,True,0.6,4,5,"Miller Right-of-Way Vacation (VAC2019-E001) on Via Coconut property Resolution 2021-19 Resolution of The Village of Estero, Florida, vacating a 66-Foot Wide Public Right-Of-Way that is Part of the Plat of the Florida Gulf Land Company's Subdivision, as Re","Miller Right-of-Way Vacation (VAC2019-E001) on Via Coconut property Resolution 2021-19 Resolution of The Village of Estero, Florida, vacating a 66-Foot Wide Public Right-Of-Way that is Part of the Plat of the Florida Gulf Land Company's Subdivision, as Re. Action: Approved Resolution 2021-19",Approved Resolution 2021-19,Resolution,True,
1840,235,6,Public Comment,,,Williams Road Bicycle & Pedestrian Improvement Concepts,,"Williams Road from Via Coconut Point to Three Oaks Parkway, Estero, FL","Williams Road Bicycle & Pedestrian Improvement Concepts. Action: No formal action recorded. Williams Road Bicycle & Pedestrian Improvement Concepts Staff Presentation/Comments: Steve Sarkozy, Village Manager David Willems, Public Works Presentation/Information by: D. Brent Addison, Banks Engineering Public Comments: Lou Frattarelli, ECCL Gordon Brown, Pelican Sound Gary Israel Council Questions or Comments: Councilmembers Fiesel, Ribble, Vice Mayor McLain, and Mayor Errington","No formal action recorded. Williams Road Bicycle & Pedestrian Improvement Concepts Staff Presentation/Comments: Steve Sarkozy, Village Manager David Willems, Public Works Presentation/Information by: D. Brent Addison, Banks Engineering Public Comments: Lou Frattarelli, ECCL Gordon Brown, Pelican Sound Gary Israel Council Questions or Comments: Councilmembers Fiesel, Ribble, Vice Mayor McLain, and Mayor Errington",,,,Williams Road Improvements,TD/CS,False,0.85,1,6,Williams Road Bicycle & Pedestrian Improvement Concepts,"Williams Road Bicycle & Pedestrian Improvement Concepts. Action: No formal action recorded. Williams Road Bicycle & Pedestrian Improvement Concepts Staff Presentation/Comments: Steve Sarkozy, Village Manager David Willems, Public Works Presentation/Information by: D. Brent Addison, Banks Engineering Public Comments: Lou Frattarelli, ECCL Gordon Brown, Pelican Sound Gary Israel Council Questions or Comments: Councilmembers Fiesel, Ribble, Vice Mayor McLain, and Mayor Errington","No formal action recorded. Williams Road Bicycle & Pedestrian Improvement Concepts Staff Presentation/Comments: Steve Sarkozy, Village Manager David Willems, Public Works Presentation/Information by: D. Brent Addison, Banks Engineering Public Comments: Lou Frattarelli, ECCL Gordon Brown, Pelican Sound Gary Israel Council Questions or Comments: Councilmembers Fiesel, Ribble, Vice Mayor McLain, and Mayor Errington",Public Comment,False,
1841,235,7,Contract Approval,,,"Cooperative Agreement - South Florida Water Management District, Lee County, Bonita Springs & Estero",,,"Cooperative Agreement - South Florida Water Management District, Lee County, Bonita Springs & Estero. Action: No formal action recorded. Cooperative Agreement - South Florida Water Management District, Lee County, Bonita Springs & Estero Staff Presentation/Comments: Steve Sarkozy, Village Manager David Willems, Public Works Public Comments: None. Council Questions or Comments: Councilmembers Boesch, Ward, Ribble, Vice Mayor McLain, and Mayor Errington","No formal action recorded. Cooperative Agreement - South Florida Water Management District, Lee County, Bonita Springs & Estero Staff Presentation/Comments: Steve Sarkozy, Village Manager David Willems, Public Works Public Comments: None. Council Questions or Comments: Councilmembers Boesch, Ward, Ribble, Vice Mayor McLain, and Mayor Errington",,,,,TD/CS,True,0.5,6,7,"Cooperative Agreement - South Florida Water Management District, Lee County, Bonita Springs & Estero","Cooperative Agreement - South Florida Water Management District, Lee County, Bonita Springs & Estero. Action: No formal action recorded. Cooperative Agreement - South Florida Water Management District, Lee County, Bonita Springs & Estero Staff Presentation/Comments: Steve Sarkozy, Village Manager David Willems, Public Works Public Comments: None. Council Questions or Comments: Councilmembers Boesch, Ward, Ribble, Vice Mayor McLain, and Mayor Errington","No formal action recorded. Cooperative Agreement - South Florida Water Management District, Lee County, Bonita Springs & Estero Staff Presentation/Comments: Steve Sarkozy, Village Manager David Willems, Public Works Public Comments: None. Council Questions or Comments: Councilmembers Boesch, Ward, Ribble, Vice Mayor McLain, and Mayor Errington",Contract Approval,False,
